sex,name,count
M,Lincoln,24155
F,Tania,24046
F,Helena,24027
F,Etta,23951
F,Julianne,23937
M,Darnell,23885
F,Lea,23877
M,Ezekiel,23874
F,Sondra,23850
F,Macy,23779
F,Imogene,23718
M,Amos,23654
F,Alyson,23619
M,Bert,23596
F,Gwen,23556
M,Lukas,23552
F,Jayne,23429
M,Quinton,23398
F,Angelique,23351
F,Jodie,23336
F,Staci,23326
M,Wilfred,23212
M,Sawyer,23169
M,Kyler,23159
F,Ina,23058
M,Jarrod,22942
F,Lorna,22849
M,Antoine,22840
F,Reese,22817
F,Polly,22800
M,Easton,22795
F,Iva,22752
M,Percy,22743
M,Emil,22734
M,Pat,22710
F,Makenna,22709
F,Eugenia,22670
M,Lionel,22660
M,Mateo,22652
F,Francesca,22612
F,London,22600
M,Solomon,22573
M,Sterling,22570
M,Kai,22551
M,Ezra,22549
F,Cameron,22463
F,Lara,22416
F,Goldie,22342
F,Cleo,22293
F,Keira,22232
F,Tiana,22194
F,Brooklynn,22163
F,Daniella,22149
M,Timmy,22149
F,Jenifer,22125
F,Elva,22125
F,Luz,22118
M,Moises,22096
M,Brenden,22089
M,Johnathon,22078
M,Dewayne,22064
M,Zachariah,21995
M,Guadalupe,21972
F,Eliana,21929
F,Jewell,21914
